City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,synel'nykove,48.3204,35.5179,10.93,54,100,3.59,UA,1715234358
334,nkpor,6.1516,6.8446,25.46,88,100,1.46,NG,1715234358
335,san german,18.0816,-67.0449,26.35,63,2,1.34,PR,1715234359
336,wucheng,29.6008,118.175,24.46,52,100,0.85,CN,1715234359
337,ixtapa,20.7,-105.2,24.57,75,3,0.45,MX,1715234360
338,xai-xai,-25.0519,33.6442,21.48,78,8,1.24,MZ,1715234361
339,madugula,17.9167,82.8,30.58,45,0,2.68,IN,1715234361
340,medicine hat,50.0501,-110.6683,9.24,74,0,1.03,CA,1715234354
341,okha,53.5739,142.9478,6.81,57,84,9.39,RU,1715234339
342,uturoa,-16.7333,-151.4333,27.88,76,64,5.94,PF,1715234362
343,alofi,-19.0595,-169.9187,22.94,100,100,5.14,NU,1715234363
344,katsuura,35.1333,140.3,14.55,64,97,6.57,JP,1715234364
345,zaraza,9.3503,-65.3245,27.41,76,92,1.68,VE,1715234364
346,colonia,50.9333,6.95,12.2,92,100,1.54,DE,1715234290
347,wewak,-3.5534,143.6268,28.08,84,93,1.8,PG,1715234366
348,kudat,6.8837,116.8477,32.96,66,20,4.12,MY,1715234366
349,arawa,-6.2132,155.5367,27.12,92,99,1.73,PG,1715234367
350,boa vista,2.8197,-60.6733,26.99,83,20,1.03,BR,1715234367
351,kununurra,-15.7667,128.7333,32.99,31,59,4.12,AU,1715234353
352,sooke,48.3746,-123.7276,11.79,87,15,7.72,CA,1715234369
353,saipan,15.1355,145.701,32.39,62,40,6.69,MP,1715234338
354,illizi,26.4833,8.4667,19.89,42,10,2.38,DZ,1715234370
355,holmsund,63.706,20.3641,3.3,80,100,1.54,SE,1715234370
356,tawau,4.2498,117.8871,31.07,73,16,1.5,MY,1715234371
357,broome,42.2506,-75.833,13.16,87,75,2.24,US,1715234341
358,ar rutbah,33.0381,40.2848,21.93,25,1,3.28,IQ,1715234373
359,codrington,-38.2667,141.9667,17.9,58,75,4.15,AU,1715234373
360,carmarthen,51.8555,-4.3054,11.2,100,81,2.06,GB,1715234374
361,ivdel',60.6911,60.4206,4.55,99,100,1.79,RU,1715234375
362,mount gambier,-37.8333,140.7667,17.34,49,33,2.45,AU,1715234375
